CountAll,CountPositiveReview,CountNegativeReview,StockOpen
145014,13381,14769,142.2934255
281176,19494,8061,150.3831291
210040,19843,13941,152.245408
42657,11870,10785,162.9355878
165595,10452,19579,146.6908973
91121,16369,15832,142.5172347
130699,3558,2830,125.6591944
49214,5410,8864,128.3424647
64814,8556,13185,147.2152399
134927,12793,4475,160.6561018
161991,15617,11643,153.1640053
132831,19824,18773,124.2128667
181591,8786,10793,163.8656618
157180,17511,15194,164.4265881
257895,10123,10049,136.6741214
274399,11918,8508,152.3582469
202548,2682,8984,134.0959436
183431,4073,8027,118.9400391
11983,12207,15948,129.3686063
33260,15481,19401,130.5264773
11313,9687,5768,133.4024593
90248,3534,6518,118.2596649
121763,17081,18716,144.3718015
243966,18609,18837,153.6869155
141286,8281,13427,118.1338827
173044,14346,12965,130.8511201
157033,19027,15795,162.4615743
215620,11823,6588,150.3774497
104385,8817,12520,151.9963206
103387,8801,9335,160.5480125
